,data,label
102,-5.211,0.0
103,-5.048,0.0
104,-4.429,0.0
105,-4.0,0.0
106,-3.92,0.0
107,-4.066,0.0
108,-4.408,0.0
109,-4.898,0.0
110,-5.644,0.0
111,-6.5,0.0
112,-7.033,0.0
113,-7.476,0.0
114,-7.919,0.0
115,-8.284,0.0
116,-8.65,0.0
117,-9.109,0.0
118,-9.648,0.0
119,-10.09,0.0
120,-10.438,0.0
121,-10.771,0.0
122,-11.081,0.0
123,-11.234,0.0
124,-11.261,0.0
125,-11.377,0.0
126,-11.519,0.0
127,-11.287,0.0
128,-10.326,0.0
129,-9.455,0.0
130,-9.046,0.0
131,-8.87,0.0
132,-8.827,0.0
133,-8.984,0.0
134,-9.456,0.0
135,-10.235,0.0
136,-10.715,0.0
137,-11.003,0.0
138,-11.395,0.0
139,-11.762,0.0
140,-12.135,0.0
141,-12.498,0.0
142,-12.878,0.0
143,-13.225,0.0
144,-13.447,0.0
145,-13.691,0.0
146,-13.861,0.0
147,-14.063,0.0
148,-14.35,0.0
149,-14.59,0.0
150,-14.708,0.0
151,-14.064,0.0
152,-12.258,0.0
153,-10.296,0.0
154,-9.044,0.0
155,-8.229,0.0
156,-7.822,0.0
157,-7.875,0.0
158,-8.675,0.0
159,-9.878,0.0
160,-10.051,0.0
161,-9.99,0.0
162,-9.868,0.0
163,-9.726,0.0
164,-9.579,0.0
165,-9.386,0.0
166,-9.158,0.0
167,-8.929,0.0
168,-8.703,0.0
169,-8.503,0.0
170,-8.363,0.0
171,-8.276,0.0
172,-8.233,0.0
173,-8.27,0.0
174,-8.396,0.0
175,-8.179,0.0
176,-7.313,0.0
177,-6.375,0.0
178,-5.642,0.0
179,-5.116,0.0
180,-4.862,0.0
181,-4.945,0.0
182,-5.772,0.0
183,-7.24,0.0
184,-7.979,0.0
185,-8.486,0.0
186,-8.883,0.0
187,-9.13,0.0
188,-9.313,0.0
189,-9.426,0.0
190,-9.449,0.0
191,-9.439,0.0
192,-9.38,0.0
193,-9.236,0.0
194,-9.034,0.0
195,-8.857,0.0
196,-8.733,0.0
197,-8.544,0.0
198,-8.426,0.0
199,-7.87,0.0
200,-6.548,0.0
201,-5.16,0.0
202,-4.144,0.0
203,-3.435,0.0
204,-3.1,0.0
205,-3.237,0.0
206,-4.345,0.0
207,-6.234,0.0
208,-7.184,0.0
209,-7.802,0.0
210,-8.341,0.0
211,-8.859,0.0
212,-9.266,0.0
213,-9.547,0.0
214,-9.773,0.0
215,-9.845,0.0
216,-9.944,0.0
217,-10.3,0.0
218,-10.805,0.0
219,-11.474,0.0
220,-12.132,0.0
221,-12.64,0.0
222,-13.088,0.0
223,-12.494,0.0
224,-10.276,0.0
225,-8.175,0.0
226,-6.993,0.0
227,-6.351,0.0
228,-6.171,0.0
229,-6.543,0.0
230,-7.713,0.0
231,-9.482,0.0
232,-10.541,0.0
233,-11.393,0.0
234,-12.128,0.0
235,-12.643,0.0
236,-12.966,0.0
237,-13.278,0.0
238,-13.548,0.0
239,-13.766,0.0
240,-13.935,0.0
241,-14.057,0.0
242,-14.023,0.0
243,-13.927,0.0
244,-13.852,0.0
245,-13.764,0.0
246,-13.643,0.0
247,-12.373,0.0
248,-9.676,0.0
249,-7.155,0.0
250,-5.434,0.0
251,-4.008,0.0
252,-3.263,0.0
253,-3.288,0.0
254,-4.769,0.0
255,-6.812,0.0
256,-7.143,0.0
257,-6.789,0.0
258,-6.475,0.0
259,-6.077,0.0
260,-5.584,0.0
261,-5.083,0.0
262,-4.533,0.0
263,-3.933,0.0
264,-3.21,0.0
265,-2.75,0.0
266,-2.631,0.0
267,-2.395,0.0
268,-2.209,0.0
269,-2.082,0.0
270,-2.004,0.0
271,-1.457,0.0
272,-0.419,0.0
273,0.495,0.0
274,1.18,0.0
275,1.601,0.0
276,1.7,0.0
277,1.349,0.0
278,0.244,0.0
279,-0.967,0.0
280,-1.233,0.0
281,-1.251,0.0
282,-1.224,0.0
283,-1.102,0.0
284,-1.056,0.0
285,-1.167,0.0
286,-1.391,0.0
287,-1.69,0.0
288,-1.907,0.0
289,-1.944,0.0
290,-1.861,0.0
291,-1.545,0.0
292,-1.117,0.0
293,-1.074,0.0
294,-1.093,0.0
295,-0.826,0.0
296,-0.403,0.0
297,-0.109,0.0
298,-0.063,0.0
299,-0.239,0.0
300,-0.679,0.0
301,-1.267,0.0
302,-1.808,0.0
303,-2.3,0.0
304,-2.642,0.0
305,-2.957,0.0
306,-3.142,0.0
307,-3.261,0.0
308,-3.408,0.0
309,-3.485,0.0
310,-3.498,0.0
311,-3.703,0.0
312,-4.073,0.0
313,-4.652,0.0
314,-5.408,0.0
315,-6.068,0.0
316,-6.37,0.0
317,-6.419,0.0
318,-6.426,0.0
319,-5.35,0.0
320,-3.281,0.0
321,-2.06,0.0
322,-1.523,0.0
323,-0.963,0.0
324,-0.64,0.0
325,-0.763,0.0
326,-1.353,0.0
327,-2.214,0.0
328,-2.816,0.0
329,-3.279,0.0
330,-3.728,0.0
331,-4.214,0.0
332,-4.634,0.0
333,-4.951,0.0
334,-5.321,0.0
335,-5.769,0.0
336,-6.201,0.0
337,-6.56,0.0
338,-6.613,0.0
339,-6.721,0.0
340,-6.914,0.0
341,-7.156,0.0
342,-7.323,0.0
343,-6.593,0.0
344,-4.775,0.0
345,-3.1,0.0
346,-2.297,0.0
347,-1.962,0.0
348,-1.939,0.0
349,-2.225,0.0
350,-3.298,0.0
351,-4.741,0.0
352,-5.341,0.0
353,-5.773,0.0
354,-6.239,0.0
355,-6.619,0.0
356,-6.97,0.0
357,-7.286,0.0
358,-7.656,0.0
359,-8.049,0.0
360,-8.42,0.0
361,-8.807,0.0
362,-9.206,0.0
363,-9.532,0.0
364,-9.754,0.0
365,-9.879,0.0
366,-9.908,0.0
367,-9.069,0.0
368,-7.154,0.0
369,-5.334,0.0
370,-4.384,0.0
371,-3.962,0.0
372,-3.927,0.0
373,-4.164,0.0
374,-4.899,0.0
375,-6.155,0.0
376,-6.946,0.0
377,-7.237,0.0
378,-7.321,0.0
379,-7.365,0.0
380,-7.463,0.0
381,-7.681,0.0
382,-7.854,0.0
383,-7.893,0.0
384,-7.915,0.0
385,-7.96,0.0
386,-8.056,0.0
387,-8.167,0.0
388,-8.29,0.0
389,-8.328,0.0
390,-8.502,0.0
391,-8.051,0.0
392,-6.857,0.0
393,-5.766,0.0
394,-5.027,0.0
395,-4.562,0.0
396,-4.418,0.0
397,-4.6,0.0
398,-5.218,0.0
399,-6.28,0.0
400,-6.976,0.0
401,-7.391,0.0
402,-7.825,0.0
403,-8.267,0.0
404,-8.713,0.0
405,-9.159,0.0
406,-9.415,0.0
407,-9.606,0.0
408,-9.816,0.0
409,-10.067,0.0
410,-10.333,0.0
411,-10.559,0.0
412,-10.827,0.0
413,-11.105,0.0
414,-11.309,0.0
415,-10.507,0.0
416,-8.604,0.0
417,-6.92,0.0
418,-5.852,0.0
419,-5.103,0.0
420,-4.715,0.0
421,-4.774,0.0
422,-5.661,0.0
423,-7.648,0.0
424,-8.891,0.0
425,-9.657,0.0
426,-10.327,0.0
427,-10.937,0.0
428,-11.542,0.0
429,-12.147,0.0
430,-12.611,0.0
431,-12.937,0.0
432,-13.181,0.0
433,-13.322,0.0
434,-13.449,0.0
435,-13.498,0.0
436,-13.477,0.0
437,-13.477,0.0
438,-13.412,0.0
439,-12.382,0.0
440,-9.946,0.0
441,-7.178,0.0
442,-5.53,0.0
443,-4.471,0.0
444,-3.879,0.0
445,-3.894,0.0
446,-5.094,0.0
447,-7.591,0.0
448,-9.178,0.0
449,-10.063,0.0
450,-10.673,0.0
451,-11.194,0.0
452,-11.735,0.0
453,-12.182,0.0
454,-12.493,0.0
455,-12.816,0.0
456,-13.004,0.0
457,-13.061,0.0
458,-13.106,0.0
459,-13.132,0.0
460,-13.104,0.0
461,-12.981,0.0
462,-12.879,0.0
463,-11.902,0.0
464,-9.357,0.0
465,-6.737,0.0
466,-4.941,0.0
467,-3.517,0.0
468,-2.699,0.0
469,-2.563,0.0
470,-3.823,0.0
471,-6.604,0.0
472,-8.336,0.0
473,-9.307,0.0
474,-9.956,0.0
475,-10.441,0.0
476,-10.792,0.0
477,-10.996,0.0
478,-11.127,0.0
479,-11.163,0.0
480,-11.2,0.0
481,-11.183,0.0
482,-11.174,0.0
483,-11.263,0.0
484,-11.37,0.0
485,-11.423,0.0
486,-11.508,0.0
487,-10.617,0.0
488,-8.299,0.0
489,-5.707,0.0
490,-3.829,0.0
491,-2.53,0.0
492,-1.799,0.0
493,-1.681,0.0
494,-2.783,0.0
495,-5.29,0.0
496,-7.053,0.0
497,-8.005,0.0
498,-8.58,0.0
499,-9.053,0.0
500,-9.408,0.0
501,-9.614,0.0
502,-9.781,0.0
503,-9.921,0.0
504,-9.924,0.0
505,-9.903,0.0
506,-9.891,0.0
507,-9.959,0.0
508,-10.067,0.0
509,-10.208,0.0
510,-10.3,0.0
511,-9.069,0.0
512,-6.665,0.0
513,-4.248,0.0
514,-2.401,0.0
515,-1.078,0.0
516,-0.422,0.0
517,-0.394,0.0
518,-1.315,0.0
519,-3.49,0.0
520,-5.259,0.0
521,-6.358,0.0
522,-7.117,0.0
523,-7.712,0.0
524,-8.146,0.0
525,-8.439,0.0
526,-8.72,0.0
527,-8.95,0.0
528,-9.057,0.0
529,-9.15,0.0
530,-9.306,0.0
531,-9.608,0.0
532,-9.962,0.0
533,-10.241,0.0
534,-10.39,0.0
535,-9.61,0.0
536,-7.833,0.0
537,-5.738,0.0
538,-4.129,0.0
539,-3.092,0.0
540,-2.53,0.0
541,-2.562,0.0
542,-3.541,0.0
543,-5.799,0.0
544,-7.42,0.0
545,-8.392,0.0
546,-8.946,0.0
547,-9.281,0.0
548,-9.542,0.0
549,-9.679,0.0
550,-9.773,0.0
551,-9.924,0.0
552,-10.164,0.0
553,-10.503,0.0
554,-10.776,0.0
555,-10.964,0.0
556,-11.147,0.0
557,-11.353,0.0
558,-11.439,0.0
559,-10.568,0.0
560,-8.869,0.0
561,-7.357,0.0
562,-6.24,0.0
563,-5.5,0.0
564,-5.156,0.0
565,-5.27,0.0
566,-5.994,0.0
567,-7.735,0.0
568,-8.946,0.0
569,-9.52,0.0
570,-9.959,0.0
571,-10.341,0.0
572,-10.689,0.0
573,-10.887,0.0
574,-11.023,0.0
575,-11.211,0.0
576,-11.271,0.0
577,-11.288,0.0
578,-11.362,0.0
579,-11.521,0.0
580,-11.581,0.0
581,-11.513,0.0
582,-11.317,0.0
583,-9.729,0.0
584,-7.163,0.0
585,-4.702,0.0
